공고번호,날짜,발주기관,공고명,1순위업체,투찰금액,투찰률,기초금액
R26BK01699320,2026-09-01,강원특별자치도 동해시,불법주정차 단속CCTV 노후 지주 교체 공사,주식회사 삼봉정보통신,50071156,91.053,56019000
R26BK01698381,2026-09-01,전북특별자치도 무주군,무주 반디나래 지원센터 시설개선사업(소방공사),주식회사 강전사,52957427,90.419,
R26BK01698929,2026-09-01,국토교통부 부산지방국토관리청 포항국토관리사무소,국도20호선 경주터널 방재시설물 보수공사,태승이엔지,292703700,90.199,
R26BK01698232,2026-09-01,대전광역시교육청,신탄진고 체육관동 교육환경개선 기타공사 수의계약 견적제출 안내공고,주식회사 수경건설,61655690,90.183,
R26BK01697980,2026-09-01,한국농어촌공사 경남지역본부 거창.함양지사,금호지구 농촌공간정비사업 전기공사,주식회사 대우전기공사,86651879,90.267,
R26BK01700077,2026-09-01,제주특별자치도,제주시 구좌읍 종달리 빈집 리모델링 공사,승정종합건설 주식회사,48261900,90.163,
R26BK01698658,2026-09-01,경상남도 산청군 산청읍,"지리1구,2구 가각부 및 배수로 정비공사",케이에이치 주식회사,84509242,90.291,
R26BK01698554,2026-09-01,부산대학교,부산대학교 테니스장 하드코트 교체공사,주식회사유일건설산업,90219222,90.292,
R26BK01700145,2026-09-01,경기도 수원시 팔달구,2026년 팔달구 도로유지관리공사(1권역 4차)(단가계약),신한포장건설(주),29592033,90.418,
R26BK01698768,2026-09-01,전북특별자치도 전주시,전주 경기전 외·내신문 보수공사,주식회사 솔종합건설,28908000,90.193,
R26BK01698778,2026-09-01,경기도 안산시,2026년 자전거도로 위험구간 개선공사,신경기건설(주),43218500,90.673,
R26BK01698588,2026-09-01,부산광역시교육청 부산광역시동래교육지원청,내산초등학교 등 2교(충렬초) 수배전반교체 및 기타 전기공사,주식회사용수전력,98056684,90.28,
R26BK01678178,2026-09-01,조달청 인천지방조달청,[긴급](가칭)이의8초중 신축공사[계속비],주식회사 원석종합건설,10879445000,86.729,
R26BK01698655,2026-09-01,경기도 안산시,초지로 일원 보행환경 개선사업(통신),주식회사 이룸전기통신,41315210,90.223,
