공고번호,날짜,발주기관,공고명,1순위업체,사업자번호,대표자,투찰금액,투찰률,기초금액,A값,A값적용,예가하한,예가상한,참가업체수
R26BK01623215,2026-07-08,한국농어촌공사 경기지역본부 안성지사,신호양배수장 토출수조 보강대 보수공사,주식회사 하나에코테크,,,22700000,92.956,,,,,,
R26BK01623251,2026-07-08,한국농어촌공사 경기지역본부 연천.포천.가평지사,관인.해동.자작양수장 펌프 보수공사,대흥기계공업(주),,,8500000,95.398,,,,,,
R26BK01610728,2026-07-08,서울특별시교육청 서울특별시강서양천교육지원청,경서중 수영장 전면개선 소방공사,동강이엔씨 주식회사,,,83272100,90.256,,,,,,
R26BK01614510,2026-07-08,경남신용보증재단,2026년 경남신용보증재단 진주지점 인테리어 공사,주식회사 앤씨팍,,,94170703,90.025,,,,,,
R26BK01612035,2026-07-08,경상남도 김해시,현대유치원 어린이보호구역 개선공사,태경건설 주식회사,,,87767850,90.095,,,,,,
R26BK01614456,2026-07-08,충청북도 충주시,탄소중립그린도시태양광에너지확보사업(토목),주식회사 상현,,,144260000,90.376,,,,,,
R26BK01599356,2026-07-03,호서대학교,"아산캠퍼스 교직원회관 노후시설 개선공사(건축, 기계설비)",주식회사 오버올건축그룹,,,159900000,62.921,,,,,,
R26BK01620339,2026-07-08,대길푸른초장,[긴급]2026년도 대길푸른초장 기능보강공사,주식회사 파랑디자인그룹,,,192185000,98.981,196790000,,,,,
R26BK01611913,2026-07-08,강원특별자치도 도로관리사업소 북부지소,국도75호선 창암교 보수보강공사,주식회사한국대체에너지,,,113280600,90.545,,,,,,
R26BK01608280,2026-07-08,재단법인강원테크노파크,태백 수소충전소 구축사업 토목공사,주식회사 동암건설,,,60450109,91.03,66352000,,,,,
R26BK01608126,2026-07-08,서울시설공단,잠실역 지하도상가 흡수식냉온수기 교체 부대공사,남성기전(주),,,333650800,90.263,,,,,,
R26BK01622586,2026-07-08,한국농어촌공사 경북지역본부 성주지사,성주호콘밸브실 외 4개소 유지관리개보수공사,주성건설 주식회사,,,29165000,88.002,,,,,,
